컨텐츠 아이디,공원 명,지번주소 코드,지번주소,도로명주소 코드,도로명주소,X좌표(LNG),Y좌표(LAT),컨텐츠상세필드명1,컨텐츠상세명11,컨텐츠상세필드명12,컨텐츠상세명12,컨텐츠상세필드명13,컨텐츠상세명13,컨텐츠상세필드명14,컨텐츠상세명14,컨텐츠상세필드명15,컨텐츠상세명15,컨텐츠상세필드명16,컨텐츠상세명16,컨텐츠상세필드명17,컨텐츠상세명17,컨텐츠상세필드명18,컨텐츠상세명18,컨텐츠상세필드명19,컨텐츠상세명19,컨텐츠상세필드명20,컨텐츠상세명20
서부녹지-월드컵경기장공원-3,월드컵경기장공원,,서울특별시 마포구 성산동 509-5,1.14E+21,,126.89775,37.57063889,공원명,,,,,,,,,,,,,,,,,,,
영등포구-중마루공원-1,중마루공원,1.16E+18,서울특별시 영등포구 영등포동2가 141,,서울특별시 영등포구 영등포로53길 6,126.9116279,37.51945226,공원명,,,,,,,,,,,,,,,,,,,
강북구-송월어린이공원-1,송월어린이공원,,서울특별시 강북구 미아동 89-34,,서울특별시 강북구 오현로 16-8,127.0319444,37.61611111,공원명,,,,,,,,,,,,,,,,,,,
동작구-새벽 어린이공원-1,새벽 어린이공원,1.16E+18,서울특별시 동작구 상도동 333-2,,서울특별시 동작구 상도로13길 7,126.9302222,37.50066667,공원명,,,,,,,,,,,,,,,,,,,
은평구-길마어린이공원-1,길마어린이공원,1.14E+18,서울특별시 은평구 갈현동 474-1,,서울특별시 은평구 연서로21길 15,126.9159444,37.61472222,공원명,,,,,,,,,,,,,,,,,,,
한강사업본부-한강시민공원(양화지구)-3,한강시민공원(양화지구),,서울특별시 영등포구 당산동 71-2,,서울특별시 영등포구 선유로 314,126.9009716,37.53951681,공원명,,,,,,,,,,,,,,,,,,,
한강사업본부-한강시민공원망원지구-8,한강시민공원망원지구,1.14E+18,서울특별시 마포구 망원동 205-5,,서울특별시 마포구 마포나루길 429,126.8976944,37.55308333,공원명,,,,,,,,,,,,,,,,,,,
은평구-연신초교옆마을마당-1,연신초교옆마을마당,,서울특별시 은평구 불광동 73-1,,서울특별시 은평구 연서로 347,126.9286389,37.62688889,공원명,,,,,,,,,,,,,,,,,,,
은평구-새장골어린이공원-1,새장골어린이공원,1.14E+18,서울특별시 은평구 불광동 444-1,,서울특별시 은평구 연서로37가길 10-12,126.9262778,37.62525,공원명,,,,,,,,,,,,,,,,,,,
동작구-상도근린공원-1,상도근린공원,,서울특별시 동작구 상도동 산 65-235,,서울특별시 동작구 양녕로20길 3,126.94325,37.49269444,공원명,,,,,,,,,,,,,,,,,,,
