Route_ID,TARGET_FID
왕십리역_5km_중급,4373
왕십리역_5km_중급,756
왕십리역_5km_중급,6585
왕십리역_5km_중급,6919
왕십리역_5km_중급,3606
왕십리역_5km_중급,4628
왕십리역_5km_중급,1466
왕십리역_5km_중급,3387
왕십리역_5km_중급,3109
왕십리역_5km_중급,4024
왕십리역_5km_중급,8395
왕십리역_5km_중급,1374
왕십리역_5km_중급,3561
왕십리역_5km_중급,5754
왕십리역_5km_중급,7748
왕십리역_5km_중급,5979
왕십리역_5km_중급,1781
왕십리역_5km_중급,2464
왕십리역_5km_중급,3200
왕십리역_5km_중급,7509
왕십리역_5km_중급,3035
왕십리역_5km_중급,5611
왕십리역_5km_중급,2205
왕십리역_5km_중급,6700
왕십리역_5km_중급,7796
왕십리역_5km_중급,1016
왕십리역_5km_중급,5401
왕십리역_5km_중급,9515
왕십리역_5km_중급,4554
왕십리역_5km_중급,7237
왕십리역_5km_중급,8957
왕십리역_5km_중급,5070
왕십리역_5km_중급,991
왕십리역_5km_중급,4682
왕십리역_5km_중급,5072
왕십리역_5km_중급,7067
왕십리역_5km_중급,4169
왕십리역_5km_중급,572
왕십리역_5km_중급,6289
왕십리역_5km_중급,6165
왕십리역_5km_중급,574
왕십리역_5km_중급,5195
왕십리역_5km_중급,6350
왕십리역_5km_중급,6096
왕십리역_5km_중급,3488
왕십리역_5km_중급,4904
왕십리역_5km_중급,9551
왕십리역_5km_중급,3706
왕십리역_5km_중급,681
왕십리역_5km_중급,8720
왕십리역_5km_중급,4965
왕십리역_5km_중급,7336
왕십리역_5km_중급,2441
왕십리역_5km_중급,7704
왕십리역_5km_중급,1107
왕십리역_5km_중급,7015
왕십리역_5km_중급,3789
왕십리역_5km_중급,7880
왕십리역_5km_중급,7759
왕십리역_5km_중급,1913
왕십리역_5km_중급,9014
왕십리역_5km_중급,5894
왕십리역_5km_중급,8408
왕십리역_5km_중급,6929
왕십리역_5km_중급,1247
왕십리역_5km_중급,8375
왕십리역_5km_중급,6084
왕십리역_5km_중급,6521
왕십리역_5km_중급,4911
왕십리역_5km_중급,9085
왕십리역_5km_중급,6405
왕십리역_5km_중급,8649
왕십리역_5km_중급,8201
왕십리역_5km_중급,7981
왕십리역_5km_중급,5073
왕십리역_5km_중급,5918
왕십리역_5km_중급,3185
왕십리역_5km_중급,2562
왕십리역_5km_중급,4610
왕십리역_5km_중급,7685
금호나들목_3km_초급,4142
금호나들목_3km_초급,2423
금호나들목_3km_초급,1931
금호나들목_3km_초급,4838
금호나들목_3km_초급,5962
금호나들목_3km_초급,1641
금호나들목_3km_초급,9448
금호나들목_3km_초급,8506
금호나들목_3km_초급,9568
금호나들목_3km_초급,6840
금호나들목_3km_초급,2049
금호나들목_3km_초급,7035
금호나들목_3km_초급,2133
금호나들목_3km_초급,6658
금호나들목_3km_초급,7576
금호나들목_3km_초급,6130
금호나들목_3km_초급,4072
금호나들목_3km_초급,2420
금호나들목_3km_초급,9445
금호나들목_3km_초급,6404
금호나들목_3km_초급,6985
금호나들목_3km_초급,4809
금호나들목_3km_초급,4205
금호나들목_3km_초급,6744
금호나들목_3km_초급,7723
금호나들목_3km_초급,5362
금호나들목_3km_초급,8815
금호나들목_3km_초급,7671
금호나들목_3km_초급,5203
금호나들목_3km_초급,5215
금호나들목_3km_초급,2293
금호나들목_3km_초급,110
금호나들목_3km_초급,6524
금호나들목_3km_초급,9322
금호나들목_3km_초급,1644
금호나들목_3km_초급,5066
금호나들목_3km_초급,2483
금호나들목_3km_초급,2102
금호나들목_3km_초급,9569
금호나들목_3km_초급,6345
금호나들목_3km_초급,7753
금호나들목_3km_초급,4044
금호나들목_3km_초급,3457
금호나들목_3km_초급,2579
금호나들목_3km_초급,1531
금호나들목_3km_초급,4537
금호나들목_3km_초급,5734
금호나들목_3km_초급,9216
금호나들목_3km_초급,9166
금호나들목_3km_초급,5511
금호나들목_3km_초급,6387
금호나들목_3km_초급,6819
금호나들목_3km_초급,1620
금호나들목_3km_초급,8689
금호나들목_3km_초급,1864
금호나들목_3km_초급,4101
금호나들목_3km_초급,9030
금호나들목_3km_초급,723
금호나들목_3km_초급,580
금호나들목_3km_초급,4174
금호나들목_5km_중급,4142
금호나들목_5km_중급,4174
금호나들목_5km_중급,580
금호나들목_5km_중급,723
금호나들목_5km_중급,9030
금호나들목_5km_중급,4101
금호나들목_5km_중급,1864
금호나들목_5km_중급,8100
금호나들목_5km_중급,1033
금호나들목_5km_중급,7473
금호나들목_5km_중급,762
금호나들목_5km_중급,1295
금호나들목_5km_중급,4201
금호나들목_5km_중급,7425
금호나들목_5km_중급,7298
금호나들목_5km_중급,5048
금호나들목_5km_중급,6931
금호나들목_5km_중급,5065
금호나들목_5km_중급,6937
금호나들목_5km_중급,8213
금호나들목_5km_중급,8110
금호나들목_5km_중급,4843
금호나들목_5km_중급,1926
금호나들목_5km_중급,8969
금호나들목_5km_중급,712
금호나들목_5km_중급,1582
금호나들목_5km_중급,1943
금호나들목_5km_중급,771
금호나들목_5km_중급,5122
금호나들목_5km_중급,1580
금호나들목_5km_중급,2131
금호나들목_5km_중급,5085
금호나들목_5km_중급,7438
금호나들목_5km_중급,5672
금호나들목_5km_중급,8271
금호나들목_5km_중급,4368
금호나들목_5km_중급,1053
금호나들목_5km_중급,788
금호나들목_5km_중급,5307
금호나들목_5km_중급,1709
금호나들목_5km_중급,5737
금호나들목_5km_중급,7589
금호나들목_5km_중급,8619
금호나들목_5km_중급,2580
금호나들목_5km_중급,2585
금호나들목_5km_중급,5847
금호나들목_5km_중급,3064
금호나들목_5km_중급,5388
금호나들목_5km_중급,2476
금호나들목_5km_중급,8604
금호나들목_5km_중급,2148
금호나들목_5km_중급,2245
금호나들목_5km_중급,9644
금호나들목_5km_중급,1671
금호나들목_5km_중급,9454
금호나들목_5km_중급,3711
금호나들목_5km_중급,1954
금호나들목_5km_중급,2924
금호나들목_5km_중급,2962
금호나들목_5km_중급,7750
금호나들목_5km_중급,1704
금호나들목_5km_중급,9411
금호나들목_5km_중급,5161
금호나들목_5km_중급,5062
금호나들목_5km_중급,5885
금호나들목_5km_중급,2707
금호나들목_5km_중급,2036
금호나들목_5km_중급,1706
금호나들목_5km_중급,8974
금호나들목_5km_중급,1369
금호나들목_5km_중급,463
금호나들목_5km_중급,6158
금호나들목_5km_중급,8023
금호나들목_5km_중급,4809
금호나들목_5km_중급,6985
금호나들목_5km_중급,1607
금호나들목_5km_중급,6130
금호나들목_5km_중급,7576
금호나들목_5km_중급,6658
금호나들목_5km_중급,2133
금호나들목_5km_중급,7035
금호나들목_5km_중급,2049
금호나들목_5km_중급,6840
금호나들목_5km_중급,9568
금호나들목_5km_중급,8506
금호나들목_5km_중급,9448
금호나들목_5km_중급,1641
금호나들목_5km_중급,5962
금호나들목_5km_중급,4838
금호나들목_5km_중급,1931
금호나들목_5km_중급,2423
성덕정나들목_3km_초급,6531
성덕정나들목_3km_초급,9671
성덕정나들목_3km_초급,4085
성덕정나들목_3km_초급,3092
성덕정나들목_3km_초급,5891
성덕정나들목_3km_초급,669
성덕정나들목_3km_초급,2759
성덕정나들목_3km_초급,4280
성덕정나들목_3km_초급,8444
성덕정나들목_3km_초급,1661
성덕정나들목_3km_초급,4755
성덕정나들목_3km_초급,3941
성덕정나들목_3km_초급,9065
성덕정나들목_3km_초급,1334
성덕정나들목_3km_초급,7127
성덕정나들목_3km_초급,6771
성덕정나들목_3km_초급,9184
성덕정나들목_3km_초급,7842
성덕정나들목_3km_초급,1396
성덕정나들목_3km_초급,3916
성덕정나들목_3km_초급,8765
성덕정나들목_3km_초급,1227
성덕정나들목_3km_초급,5892
성덕정나들목_3km_초급,471
성덕정나들목_3km_초급,1907
성덕정나들목_3km_초급,7664
성덕정나들목_3km_초급,3226
성덕정나들목_3km_초급,3119
성덕정나들목_3km_초급,7070
성덕정나들목_3km_초급,4025
성덕정나들목_3km_초급,2971
성덕정나들목_3km_초급,272
성덕정나들목_3km_초급,7026
성덕정나들목_3km_초급,9083
성덕정나들목_3km_초급,1520
성덕정나들목_3km_초급,9626
성덕정나들목_3km_초급,9341
성덕정나들목_3km_초급,1236
성덕정나들목_3km_초급,1173
성덕정나들목_3km_초급,1096
성덕정나들목_3km_초급,9556
성덕정나들목_3km_초급,1304
성덕정나들목_3km_초급,7418
성덕정나들목_3km_초급,5581
성덕정나들목_3km_초급,3300
성덕정나들목_3km_초급,3112
성덕정나들목_3km_초급,6802
성덕정나들목_3km_초급,7000
성덕정나들목_5km_중급,6531
성덕정나들목_5km_중급,9671
성덕정나들목_5km_중급,4085
성덕정나들목_5km_중급,4302
성덕정나들목_5km_중급,3582
성덕정나들목_5km_중급,8496
성덕정나들목_5km_중급,1895
성덕정나들목_5km_중급,1088
성덕정나들목_5km_중급,6196
성덕정나들목_5km_중급,3656
성덕정나들목_5km_중급,8564
성덕정나들목_5km_중급,210
성덕정나들목_5km_중급,539
성덕정나들목_5km_중급,1590
성덕정나들목_5km_중급,7283
성덕정나들목_5km_중급,9434
성덕정나들목_5km_중급,4652
성덕정나들목_5km_중급,9297
성덕정나들목_5km_중급,8887
성덕정나들목_5km_중급,9007
성덕정나들목_5km_중급,4293
성덕정나들목_5km_중급,1156
성덕정나들목_5km_중급,6413
성덕정나들목_5km_중급,5370
성덕정나들목_5km_중급,2412
성덕정나들목_5km_중급,8776
성덕정나들목_5km_중급,8471
성덕정나들목_5km_중급,1354
성덕정나들목_5km_중급,6465
성덕정나들목_5km_중급,1610
성덕정나들목_5km_중급,5727
성덕정나들목_5km_중급,8993
성덕정나들목_5km_중급,9285
성덕정나들목_5km_중급,8945
성덕정나들목_5km_중급,3521
성덕정나들목_5km_중급,5114
성덕정나들목_5km_중급,4823
성덕정나들목_5km_중급,1964
성덕정나들목_5km_중급,8368
성덕정나들목_5km_중급,2252
성덕정나들목_5km_중급,6743
성덕정나들목_5km_중급,8617
성덕정나들목_5km_중급,4017
성덕정나들목_5km_중급,4934
성덕정나들목_5km_중급,8202
성덕정나들목_5km_중급,9507
성덕정나들목_5km_중급,2934
성덕정나들목_5km_중급,4311
성덕정나들목_5km_중급,3348
성덕정나들목_5km_중급,9636
성덕정나들목_5km_중급,9365
성덕정나들목_5km_중급,1076
성덕정나들목_5km_중급,3222
성덕정나들목_5km_중급,8004
성덕정나들목_5km_중급,2332
성덕정나들목_5km_중급,1165
성덕정나들목_5km_중급,9358
성덕정나들목_5km_중급,5199
성덕정나들목_5km_중급,4269
성덕정나들목_5km_중급,6414
성덕정나들목_5km_중급,5677
성덕정나들목_5km_중급,8808
성덕정나들목_5km_중급,5017
성덕정나들목_5km_중급,1933
성덕정나들목_5km_중급,5808
성덕정나들목_5km_중급,5264
성덕정나들목_5km_중급,4309
성덕정나들목_5km_중급,5602
성덕정나들목_5km_중급,6591
성덕정나들목_5km_중급,840
성덕정나들목_5km_중급,319
성덕정나들목_5km_중급,8115
성덕정나들목_5km_중급,1173
성덕정나들목_5km_중급,1096
성덕정나들목_5km_중급,9556
성덕정나들목_5km_중급,1304
성덕정나들목_5km_중급,7418
성덕정나들목_5km_중급,5581
성덕정나들목_5km_중급,3300
성덕정나들목_5km_중급,3112
성덕정나들목_5km_중급,6802
성덕정나들목_5km_중급,7000
청구아파트나들목_3km_초급,2433
청구아파트나들목_3km_초급,7492
청구아파트나들목_3km_초급,217
청구아파트나들목_3km_초급,3664
청구아파트나들목_3km_초급,3670
청구아파트나들목_3km_초급,6442
청구아파트나들목_3km_초급,5706
청구아파트나들목_3km_초급,8880
청구아파트나들목_3km_초급,1158
